image_id,image_path,split,source,dataset,label_path,total_boxes,puffin_boxes,non_puffin_boxes,puffin_bin,distance,scene,difficulty,contains_puffin,density,occlusion,has_detection_overlay,text_prompt,notes
train_loader_jpeg.rf.8cf24c6b9f1309c46d3208605107334c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\loader_jpeg.rf.8cf24c6b9f1309c46d3208605107334c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\loader_jpeg.rf.8cf24c6b9f1309c46d3208605107334c.txt,5,5,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_ddfg9m_jpg.rf.0fe59e4b2f96eea71ec625c243522fea,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\ddfg9m_jpg.rf.0fe59e4b2f96eea71ec625c243522fea.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\ddfg9m_jpg.rf.0fe59e4b2f96eea71ec625c243522fea.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_59d7cef2-9442-43db-b104-c27acf09220d_jpeg.rf.4426827ea5dd904f0eb92ce7c4eeeffb,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\59d7cef2-9442-43db-b104-c27acf09220d_jpeg.rf.4426827ea5dd904f0eb92ce7c4eeeffb.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\59d7cef2-9442-43db-b104-c27acf09220d_jpeg.rf.4426827ea5dd904f0eb92ce7c4eeeffb.txt,22,22,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_F5A0759-500x333_jpeg.rf.76d305d4da7d55762c323e2d1a8bd46d,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\F5A0759-500x333_jpeg.rf.76d305d4da7d55762c323e2d1a8bd46d.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\F5A0759-500x333_jpeg.rf.76d305d4da7d55762c323e2d1a8bd46d.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Screenshot-2023-04-10-at-9-35-55-PM_png.rf.f0a99cf0dcf2168c6e419d2e586c2728,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-9-35-55-PM_png.rf.f0a99cf0dcf2168c6e419d2e586c2728.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-9-35-55-PM_png.rf.f0a99cf0dcf2168c6e419d2e586c2728.txt,4,4,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_kittiwake9_png.rf.37119d49c979aad58c6e07bc5779286d,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\kittiwake9_png.rf.37119d49c979aad58c6e07bc5779286d.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\kittiwake9_png.rf.37119d49c979aad58c6e07bc5779286d.txt,3,0,3,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_tzzAUIu_jpeg.rf.2f6eb5b5c13b5fd2b44c0e95ab6a0e0f,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\tzzAUIu_jpeg.rf.2f6eb5b5c13b5fd2b44c0e95ab6a0e0f.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\tzzAUIu_jpeg.rf.2f6eb5b5c13b5fd2b44c0e95ab6a0e0f.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_-2Fmethode-2Ftimes-2Fprod-2Fweb-2Fbin-2F04b16246-c23c-11e7-9914-a38dcc178fcd_jpeg.rf.395f20b9aac57667ed16ab75f19161cb,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\-2Fmethode-2Ftimes-2Fprod-2Fweb-2Fbin-2F04b16246-c23c-11e7-9914-a38dcc178fcd_jpeg.rf.395f20b9aac57667ed16ab75f19161cb.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\-2Fmethode-2Ftimes-2Fprod-2Fweb-2Fbin-2F04b16246-c23c-11e7-9914-a38dcc178fcd_jpeg.rf.395f20b9aac57667ed16ab75f19161cb.txt,3,3,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_Screenshot-2023-04-10-at-8-47-18-PM_png.rf.bef74ced6361f8c8a76a52cb90fd9e9f,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-47-18-PM_png.rf.bef74ced6361f8c8a76a52cb90fd9e9f.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-47-18-PM_png.rf.bef74ced6361f8c8a76a52cb90fd9e9f.txt,10,10,0,group,,,,yes,group,,no,a photo containing a group of puffins,
valid_6887244648_0ccb19c37a_b_jpeg.rf.3b6f398daa4fe1c39432e150c25736a6,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\6887244648_0ccb19c37a_b_jpeg.rf.3b6f398daa4fe1c39432e150c25736a6.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\6887244648_0ccb19c37a_b_jpeg.rf.3b6f398daa4fe1c39432e150c25736a6.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
